task_label,representation_label,model,max_len,era_gap,n_patients,n_positive,auroc,auprc,brier,logloss,top_10pct_precision,top_10pct_lift,top_10pct_event_capture
ICU transfer,"Condition era 180 + backfill, context 4096",GRU_2L_numeric,4096,180.0,1154,85,0.7756991321118613,0.2362270283056192,0.0363389712347075,0.1499465581031469,0.196078431372549,4.6989619377162635,0.4705882352941176
ICU transfer,"Condition era 30 + backfill, context 4096",GRU_2L_numeric,4096,30.0,1154,85,0.755026518804243,0.1600868122996523,0.0376485722042778,0.155652285106613,0.1568627450980392,3.7591695501730102,0.3764705882352941
ICU transfer,"Condition era 90 + backfill, context 4096",GRU_2L_numeric,4096,90.0,1154,85,0.8013018322082931,0.2241242849403359,0.0361847770265656,0.1474535706735491,0.1813725490196078,4.346539792387543,0.4352941176470588
ICU transfer,"Condition era 90 without backfill, context 4096",GRU_2L_numeric,4096,90.0,1154,85,0.7731617647058823,0.2006775355482088,0.0368189882422699,0.1517550221137726,0.1666666666666666,3.994117647058824,0.4
ICU transfer,"Raw, context 4096",GRU_2L_numeric,4096,,1154,85,0.7948288331726133,0.2193999956294373,0.0363658328099494,0.1492586228302491,0.1764705882352941,4.229065743944637,0.4235294117647059
ICU transfer,"Structure-null, context 4096",GRU_2L_numeric,4096,90.0,1154,85,0.7704194792671166,0.1825341303604133,0.0373094543682689,0.1552793529156731,0.1568627450980392,3.7591695501730102,0.3764705882352941
ICU transfer,"Condition era 90 + backfill, context 16384",GRU_2L_numeric,16384,90.0,1154,85,0.7774349083895853,0.2352406344687482,0.036149015139077,0.1505327838970801,0.1764705882352941,4.229065743944637,0.4235294117647059
ICU transfer,"Raw, context 16384",GRU_2L_numeric,16384,,1154,85,0.7805086788813885,0.2017031547656013,0.036903320917098,0.1530491483131388,0.1813725490196078,4.346539792387543,0.4352941176470588
Readmission,"Condition era 90 + backfill, context 4096",RETAIN_lite_numeric,4096,90.0,1190,260,0.7984866610838618,0.4205720245274604,0.0860192398416272,0.2969254372192538,0.4657534246575342,3.921285563751317,0.3923076923076923
Readmission,"Condition era 90 without backfill, context 4096",RETAIN_lite_numeric,4096,90.0,1190,260,0.8007377277983809,0.4051512487978356,0.087103563222708,0.2991468812724933,0.4703196347031963,3.959729539866526,0.3961538461538461
Readmission,"Raw, context 4096",RETAIN_lite_numeric,4096,,1190,260,0.7941520118036449,0.4097272282622244,0.0869021117464006,0.2995568821034199,0.4520547945205479,3.80595363540569,0.3807692307692307
Readmission,"Structure-null, context 4096",RETAIN_lite_numeric,4096,90.0,1190,260,0.7928101447541573,0.4126010983108889,0.0868823120261383,0.2999612837887388,0.45662100456621,3.844397611520899,0.3846153846153846
Readmission,"Condition era 90 + backfill, context 16384",RETAIN_lite_numeric,16384,90.0,1190,260,0.794185907405192,0.4161370222203375,0.0876669613776032,0.3034173858434765,0.4657534246575342,3.921285563751317,0.3923076923076923
Readmission,"Raw, context 16384",RETAIN_lite_numeric,16384,,1190,260,0.8034214618973562,0.4201644014436382,0.0880412791639747,0.3056220625981457,0.4383561643835616,3.690621707060063,0.3692307692307692
