task_label,comparison,comparison_label,history_metric,higher_means,model_a_mean,model_b_mean,point_mean_delta_a_minus_b,ci_low,ci_high,fraction_delta_positive,fraction_delta_zero,n_paired_patients,n_paired_examples
Readmission,Full4096,"Full compression vs raw, context 4096",earliest_retained_days_before_prediction,model sees further back,9362.491548652351,9338.732754682504,23.758793969849247,-18.18380338809942,70.93337649121665,0.0584741891274554,0.932846048423938,1190,2189
Readmission,Full4096,"Full compression vs raw, context 4096",final_seq_len,model receives more events,3053.485153037917,3055.285975331202,-1.8008222932846047,-2.345870174507134,-1.3236427385115852,0.1603471904979442,0.6984924623115578,1190,2189
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",earliest_retained_days_before_prediction,model sees further back,9328.369118318868,9338.732754682504,-10.363636363636363,-32.880724413474965,-0.0204858095028087,0.0,0.9931475559616264,1190,2189
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",final_seq_len,model receives more events,3048.5372316126086,3055.285975331202,-6.748743718592965,-7.965434485896269,-5.5808923005271325,0.1603471904979442,0.4563727729556875,1190,2189
Readmission,Backfill4096,"Backfill vs no-backfill, context 4096",earliest_retained_days_before_prediction,model sees further back,9362.491548652351,9328.369118318868,34.12243033348561,0.7689344572392294,77.3578717890626,0.0603015075376884,0.9374143444495204,1190,2189
Readmission,Backfill4096,"Backfill vs no-backfill, context 4096",final_seq_len,model receives more events,3053.485153037917,3048.5372316126086,4.94792142530836,3.902435052037817,6.045558409719523,0.2434901781635449,0.756509821836455,1190,2189
Readmission,StateFeatures4096,"State features vs structure-null, context 4096",earliest_retained_days_before_prediction,model sees further back,9362.491548652351,9362.491548652351,0.0,0.0,0.0,0.0,1.0,1190,2189
Readmission,StateFeatures4096,"State features vs structure-null, context 4096",final_seq_len,model receives more events,3053.485153037917,3053.485153037917,0.0,0.0,0.0,0.0,1.0,1190,2189
Readmission,Full16384,"Full compression vs raw, context 16384",earliest_retained_days_before_prediction,model sees further back,17787.781635449977,17762.021927820922,25.75970762905436,1.7308258804180043,58.1554689683949,0.0571037003197807,0.9428962996802192,1190,2189
Readmission,Full16384,"Full compression vs raw, context 16384",final_seq_len,model receives more events,6429.933302878027,6439.7665600730925,-9.83325719506624,-11.74357747357123,-8.026172838600463,0.2791228871630882,0.3471904979442667,1190,2189
ICU transfer,Full4096,"Full compression vs raw, context 4096",earliest_retained_days_before_prediction,model sees further back,11733.41237113402,11719.276877761416,14.135493372606774,0.2707094227923039,42.63489264769689,0.0422189494354442,0.953853706431026,1154,2037
ICU transfer,Full4096,"Full compression vs raw, context 4096",final_seq_len,model receives more events,2552.86941580756,2555.0594010800196,-2.1899852724594995,-2.8149915696701826,-1.641526823943811,0.1374570446735395,0.718213058419244,1154,2037
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",earliest_retained_days_before_prediction,model sees further back,11718.99852724595,11719.276877761416,-0.2783505154639175,-0.85555120670678,-0.0019539363677399,0.0,0.9965635738831616,1154,2037
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",final_seq_len,model receives more events,2548.06676485027,2555.0594010800196,-6.992636229749632,-8.278288030908278,-5.790353911081288,0.1374570446735395,0.5051546391752577,1154,2037
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",earliest_retained_days_before_prediction,model sees further back,11733.41237113402,11718.99852724595,14.413843888070693,0.7016906452318749,42.92651676460662,0.0422189494354442,0.9572901325478644,1154,2037
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",final_seq_len,model receives more events,2552.86941580756,2548.06676485027,4.802650957290132,3.742147376384018,5.944797704975697,0.2135493372606774,0.7864506627393225,1154,2037
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",earliest_retained_days_before_prediction,model sees further back,11733.41237113402,11733.41237113402,0.0,0.0,0.0,0.0,1.0,1154,2037
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",final_seq_len,model receives more events,2552.86941580756,2552.86941580756,0.0,0.0,0.0,0.0,1.0,1154,2037
ICU transfer,Full16384,"Full compression vs raw, context 16384",earliest_retained_days_before_prediction,model sees further back,18279.773686794302,18264.858124693175,14.915562101129112,0.5646550723830477,38.420838278552,0.0471281296023564,0.9528718703976436,1154,2037
ICU transfer,Full16384,"Full compression vs raw, context 16384",final_seq_len,model receives more events,5164.757486499754,5174.259204712813,-9.50171821305842,-11.463174120112525,-7.7164985416221965,0.2164948453608247,0.4462444771723122,1154,2037
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,earliest_retained_days_before_prediction,model sees further back,11733.125184094257,11733.41237113402,-0.2871870397643593,-0.7436940703608591,0.3275491541353382,0.0019636720667648,0.9744722631320568,1154,2037
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,final_seq_len,model receives more events,2553.8782523318605,2552.86941580756,1.0088365243004418,0.766701066391469,1.2933419071885914,0.1251840942562592,0.8296514482081493,1154,2037
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,earliest_retained_days_before_prediction,model sees further back,11716.16347569956,11733.41237113402,-17.248895434462444,-49.361608053390576,1.6551983915469417,0.0196367206676485,0.9779086892488954,1154,2037
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,final_seq_len,model receives more events,2552.399607265587,2552.86941580756,-0.4698085419734904,-0.6330449449044662,-0.3296958741327114,0.0309278350515463,0.875306823760432,1154,2037
